ID,pred_kwh
2024-09-24_consumer_device_12_data_user_1,0.19245508313179016
2024-09-25_consumer_device_12_data_user_1,0.18118715286254883
2024-09-26_consumer_device_12_data_user_1,0.23321852087974548
2024-09-27_consumer_device_12_data_user_1,0.0
2024-09-28_consumer_device_12_data_user_1,0.15206453204154968
2024-09-29_consumer_device_12_data_user_1,0.19056811928749084
2024-09-30_consumer_device_12_data_user_1,0.24612489342689514
2024-10-01_consumer_device_12_data_user_1,0.27542757987976074
2024-10-02_consumer_device_12_data_user_1,0.2568562626838684
2024-10-03_consumer_device_12_data_user_1,0.26867592334747314
2024-10-04_consumer_device_12_data_user_1,0.23689910769462585
2024-10-05_consumer_device_12_data_user_1,0.2482776641845703
2024-10-06_consumer_device_12_data_user_1,0.2274109125137329
2024-10-07_consumer_device_12_data_user_1,0.24153205752372742
2024-10-08_consumer_device_12_data_user_1,0.0
2024-10-09_consumer_device_12_data_user_1,0.18653610348701477
2024-10-10_consumer_device_12_data_user_1,0.25758910179138184
2024-10-11_consumer_device_12_data_user_1,0.25165337324142456
2024-10-12_consumer_device_12_data_user_1,0.2760546803474426
2024-10-13_consumer_device_12_data_user_1,0.29226750135421753
2024-10-14_consumer_device_12_data_user_1,0.3243357539176941
2024-10-15_consumer_device_12_data_user_1,0.3208920955657959
2024-10-16_consumer_device_12_data_user_1,0.23260553181171417
2024-10-17_consumer_device_12_data_user_1,0.22319141030311584
2024-10-18_consumer_device_12_data_user_1,0.2458290457725525
2024-10-19_consumer_device_12_data_user_1,0.2742457389831543
2024-10-20_consumer_device_12_data_user_1,0.2699087858200073
2024-10-21_consumer_device_12_data_user_1,0.2864100933074951
2024-10-22_consumer_device_12_data_user_1,0.22170290350914001
2024-10-23_consumer_device_12_data_user_1,0.16343623399734497
2024-10-24_consumer_device_12_data_user_1,0.20722836256027222
2024-09-24_consumer_device_12_data_user_10,0.1493217647075653
2024-09-25_consumer_device_12_data_user_10,0.13804614543914795
2024-09-26_consumer_device_12_data_user_10,0.1896730661392212
2024-09-27_consumer_device_12_data_user_10,0.0
2024-09-28_consumer_device_12_data_user_10,0.09773170948028564
2024-09-29_consumer_device_12_data_user_10,0.15327021479606628
2024-09-30_consumer_device_12_data_user_10,0.20870640873908997
2024-10-01_consumer_device_12_data_user_10,0.24701406061649323
2024-10-02_consumer_device_12_data_user_10,0.23460295796394348
2024-10-03_consumer_device_12_data_user_10,0.253764271736145
2024-10-04_consumer_device_12_data_user_10,0.22285452485084534
2024-10-05_consumer_device_12_data_user_10,0.23417291045188904
2024-10-06_consumer_device_12_data_user_10,0.21623975038528442
2024-10-07_consumer_device_12_data_user_10,0.22978812456130981
2024-10-08_consumer_device_12_data_user_10,0.0
2024-10-09_consumer_device_12_data_user_10,0.16791784763336182
2024-10-10_consumer_device_12_data_user_10,0.24387292563915253
2024-10-11_consumer_device_12_data_user_10,0.24127718806266785
2024-10-12_consumer_device_12_data_user_10,0.2683631181716919
2024-10-13_consumer_device_12_data_user_10,0.28666794300079346
2024-10-14_consumer_device_12_data_user_10,0.31887632608413696
2024-10-15_consumer_device_12_data_user_10,0.3181392550468445
2024-10-16_consumer_device_12_data_user_10,0.22856929898262024
2024-10-17_consumer_device_12_data_user_10,0.21956318616867065
2024-10-18_consumer_device_12_data_user_10,0.2437339872121811
2024-10-19_consumer_device_12_data_user_10,0.27279701828956604
2024-10-20_consumer_device_12_data_user_10,0.2680431604385376
2024-10-21_consumer_device_12_data_user_10,0.2845427393913269
2024-10-22_consumer_device_12_data_user_10,0.22029942274093628
2024-10-23_consumer_device_12_data_user_10,0.16173318028450012
2024-10-24_consumer_device_12_data_user_10,0.20584702491760254
2024-09-24_consumer_device_12_data_user_11,0.0
2024-09-25_consumer_device_12_data_user_11,0.0
2024-09-26_consumer_device_12_data_user_11,0.0
2024-09-27_consumer_device_12_data_user_11,0.0
2024-09-28_consumer_device_12_data_user_11,0.0
2024-09-29_consumer_device_12_data_user_11,0.0
2024-09-30_consumer_device_12_data_user_11,0.0
2024-10-01_consumer_device_12_data_user_11,0.0
2024-10-02_consumer_device_12_data_user_11,0.0
2024-10-03_consumer_device_12_data_user_11,0.0
2024-10-04_consumer_device_12_data_user_11,0.0
2024-10-05_consumer_device_12_data_user_11,0.0
2024-10-06_consumer_device_12_data_user_11,0.0
2024-10-07_consumer_device_12_data_user_11,0.0
2024-10-08_consumer_device_12_data_user_11,0.0
2024-10-09_consumer_device_12_data_user_11,0.0
2024-10-10_consumer_device_12_data_user_11,0.0
2024-10-11_consumer_device_12_data_user_11,0.0
2024-10-12_consumer_device_12_data_user_11,0.0
2024-10-13_consumer_device_12_data_user_11,0.0
2024-10-14_consumer_device_12_data_user_11,0.0
2024-10-15_consumer_device_12_data_user_11,0.0
2024-10-16_consumer_device_12_data_user_11,0.0
2024-10-17_consumer_device_12_data_user_11,0.0
2024-10-18_consumer_device_12_data_user_11,0.0
2024-10-19_consumer_device_12_data_user_11,0.0
2024-10-20_consumer_device_12_data_user_11,0.0
2024-10-21_consumer_device_12_data_user_11,0.0
2024-10-22_consumer_device_12_data_user_11,0.0
2024-10-23_consumer_device_12_data_user_11,0.0
2024-10-24_consumer_device_12_data_user_11,0.016244322061538696
2024-09-24_consumer_device_12_data_user_12,0.1623440980911255
2024-09-25_consumer_device_12_data_user_12,0.14852052927017212
2024-09-26_consumer_device_12_data_user_12,0.20067369937896729
2024-09-27_consumer_device_12_data_user_12,0.0
2024-09-28_consumer_device_12_data_user_12,0.11582010984420776
2024-09-29_consumer_device_12_data_user_12,0.16474255919456482
2024-09-30_consumer_device_12_data_user_12,0.2197350263595581
2024-10-01_consumer_device_12_data_user_12,0.2568490505218506
2024-10-02_consumer_device_12_data_user_12,0.24120205640792847
2024-10-03_consumer_device_12_data_user_12,0.25842177867889404
2024-10-04_consumer_device_12_data_user_12,0.22681212425231934
2024-10-05_consumer_device_12_data_user_12,0.23821498453617096
2024-10-06_consumer_device_12_data_user_12,0.21946176886558533
2024-10-07_consumer_device_12_data_user_12,0.23305994272232056
2024-10-08_consumer_device_12_data_user_12,0.0
2024-10-09_consumer_device_12_data_user_12,0.1740768849849701
