Date Time,Temperature (°C),Dewpoint Temperature (°C),U Wind Component (m/s),V Wind Component (m/s),Total Precipitation (mm),Snowfall (mm),Snow Cover (%),i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
2023-06-03T13:00:00,7.199731445,-2.448126221,-0.034194946,0.06098938,0.000377,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T14:00:00,6.000619507,-2.597540283,-0.080688477,0.018585205,0.000398,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T15:00:00,4.789971924,-2.696951294,0.057449341,-0.352020264,0.000418,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T16:00:00,3.158746338,-2.879324341,0.051528931,-0.608947754,0.00042,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T17:00:00,1.671426392,-3.255606079,0.056137085,-0.739837646,0.00042,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T18:00:00,0.660638428,-3.664709473,0.033340454,-0.815216064,0.00042,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T19:00:00,0.499902344,-3.00597229,0.071853638,-0.89201355,0.00042,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T20:00:00,-0.143438721,-3.43477478,0.071380615,-0.94569397,0.000421,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T21:00:00,-0.676046753,-3.869360352,0.045181274,-0.974212646,0.000421,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T22:00:00,-1.184606934,-4.285437012,0.016555786,-0.991073608,0.000421,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-03T23:00:00,-1.513861084,-4.69750061,-0.012954712,-0.995544434,0.000421,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T00:00:00,-1.822409058,-5.135534668,-0.022994995,-1.006515503,0.000421,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T01:00:00,-1.668692017,-5.070211792,-0.038421631,-0.972213745,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T02:00:00,0.634545898,-3.233831787,-0.062927246,-0.811477661,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T03:00:00,3.116967773,-1.393606567,-0.19744873,-0.589202881,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T04:00:00,6.082727051,-3.329962158,-0.311813354,-0.398406982,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T05:00:00,7.562081909,-3.549856567,-0.397369385,-0.244659424,0.0000262,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T06:00:00,8.492593384,-3.058798218,-0.453231812,-0.006088257,0.0000535,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T07:00:00,8.668161011,-0.177038574,-0.429550171,0.149658203,0.000129,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T08:00:00,8.870690918,-0.03848877,-0.369049072,0.054092407,0.000536,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T09:00:00,9.100579834,-0.274130249,-0.293228149,-0.007873535,0.000837,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T10:00:00,8.697610474,-0.607260132,-0.252700806,-0.02130127,0.001290861,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T11:00:00,8.723977661,-0.439367676,-0.53994751,0.27116394,0.001559573,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T12:00:00,8.267388916,0.192529297,-0.339904785,0.163955688,0.001603323,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T13:00:00,7.814675903,0.460702515,-0.30758667,-0.181472778,0.001603323,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T14:00:00,6.765023804,0.460305786,-0.198150635,-0.353820801,0.001603323,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T15:00:00,5.142068481,0.239038086,-0.012985229,-0.588409424,0.001603323,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T16:00:00,3.668069458,-0.212469482,0.010726929,-0.750167847,0.001603323,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T17:00:00,2.370584106,-0.75067749,0.030151367,-0.778226852,0.001603323,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T18:00:00,1.299523926,-1.338034058,0.022193909,-0.839596748,0.001603323,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T19:00:00,0.980355835,-2.431555176,-0.049972534,-0.923033714,0.001603323,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T20:00:00,-0.069311523,-3.057684326,-0.025634766,-0.979169846,0.001604176,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T21:00:00,-1.331335449,-3.648519897,-0.035751343,-1.06278038,0.00160417,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T22:00:00,-2.281561279,-4.290853882,-0.027893066,-1.116638184,0.001604168,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-04T23:00:00,-3.258566284,-5.039556885,-0.038314819,-1.134963989,0.00160417,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T00:00:00,-4.306951904,-5.77298584,-0.031738281,-1.161636353,0.00160417,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T01:00:00,-4.962713623,-6.197546387,-0.01449585,-1.139297485,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T02:00:00,-0.501989746,-3.117926025,0.017791748,-0.915390015,5.22E-8,5.36E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T03:00:00,3.214105225,-1.211889648,-0.048828125,-0.720596313,5.22E-8,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T04:00:00,6.52288208,-3.064627075,-0.193771362,-0.365753174,5.22E-8,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T05:00:00,8.392449951,-3.94359436,-0.362091064,-0.015869141,0.00000241,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T06:00:00,9.441278076,-4.704962158,-0.399215698,0.174057007,0.00000888,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T07:00:00,9.055627441,-2.365667725,-0.433807373,-0.240493774,0.000411,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T08:00:00,9.841485596,-4.983862305,-0.396316528,0.256576538,0.000451,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T09:00:00,10.03078613,-4.814550781,-0.399597168,0.141734123,0.000478,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T10:00:00,10.03144226,-4.197927856,-0.441436768,-0.112585068,0.000489,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T11:00:00,9.739282227,-3.725973511,-0.635543823,-0.13372612,0.000501,5.4E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T12:00:00,9.239511108,-2.913549805,-0.502914429,-0.008529663,0.000635,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T13:00:00,9.007363892,-2.130545044,-0.279495239,0.092651367,0.000636,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T14:00:00,8.060723877,-1.775,-0.066986084,-0.24949646,0.000636,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T15:00:00,6.330758667,-1.995626831,0.084136963,-0.568725586,0.000636,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T16:00:00,4.725259399,-2.486929321,0.122161865,-0.700210571,0.000636,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T17:00:00,3.372384644,-3.079367065,0.102050781,-0.767364502,0.000636,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T18:00:00,2.25864563,-3.688024902,0.081451416,-0.830413818,0.000636,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T19:00:00,2.226831055,-4.053991699,0.105514526,-0.869033813,0.000636,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T20:00:00,1.457894897,-4.487524414,0.092834473,-0.924697876,0.000636,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T21:00:00,0.856195068,-4.928915405,0.078796387,-0.946914673,0.000637,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T22:00:00,0.598336792,-5.354071045,0.036743164,-0.968566895,0.000637,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-05T23:00:00,0.436975098,-5.764715576,0.00201416,-0.982116699,0.000637,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T00:00:00,0.213861084,-6.065802002,-0.003692627,-0.985977173,0.000637,5.22E-8,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T01:00:00,0.267449951,-5.899328613,0.006195068,-0.947540283,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T02:00:00,2.730233765,-3.94119873,0.034408569,-0.814224243,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T03:00:00,4.605004883,-1.456350708,-0.081985474,-0.572753906,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T04:00:00,7.63364563,-3.752523804,-0.211593628,-0.277542114,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T05:00:00,9.038796997,-3.434164429,-0.281387329,0.010635376,4.4E-7,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T06:00:00,10.18175659,-4.002966309,-0.159805298,0.018447876,8.79E-7,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T07:00:00,10.79013977,-5.157003784,-0.075469971,0.313491821,0.0000331,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T08:00:00,11.14949951,-4.749517822,-0.008407593,0.292816162,0.0000433,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T09:00:00,10.84453735,-4.587408447,-0.042785645,-0.126541138,0.000388,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T10:00:00,10.3694397,-4.957113647,0.090805054,0.132461548,0.000549,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T11:00:00,10.18947754,-5.04616394,-0.175323486,-0.259857178,0.000553,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T12:00:00,10.09737549,-4.293661499,0.045776367,-0.308486938,0.000558,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T13:00:00,9.895730591,-4.128561401,0.085479736,-0.226287842,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T14:00:00,8.902108765,-3.716101074,0.118515015,-0.290100098,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T15:00:00,7.266183472,-3.781118774,0.224349976,-0.552642822,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T16:00:00,5.8605896,-4.033575439,0.200241089,-0.662979126,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T17:00:00,4.727548218,-4.37744751,0.201461792,-0.740356445,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T18:00:00,3.872201538,-4.776205444,0.174041748,-0.8359375,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T19:00:00,3.427774048,-5.531362915,0.133468628,-0.860214233,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T20:00:00,2.824227905,-5.836462402,0.091796875,-0.908248901,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T21:00:00,2.439950562,-6.077581787,0.049545288,-0.941101074,0.000559,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T22:00:00,2.07177124,-6.239523315,0.021911621,-0.959564209,0.00056,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-06T23:00:00,1.906060791,-6.253607178,-0.004241943,-0.984451294,0.00056,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T00:00:00,1.784356689,-6.164572144,-0.013671875,-0.977279663,0.00056,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T01:00:00,1.433999634,-5.752035522,0.010437012,-0.957122803,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T02:00:00,3.229440308,-4.41651001,0.000229,-0.907623291,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T03:00:00,5.151620483,-0.884039307,-0.073638916,-0.762084961,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T04:00:00,7.751733398,-2.696539307,-0.177062988,-0.515075684,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T05:00:00,9.363458252,-3.011831665,-0.233825684,-0.314163208,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T06:00:00,10.3906189,-3.644171143,-0.228942871,-0.059295654,0.0000102,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T07:00:00,11.24155579,-2.860128784,0.143341064,-0.065811157,0.0000324,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T08:00:00,11.66419373,-2.774557495,0.420852661,-0.070648193,0.0000959,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T09:00:00,11.72376404,-3.120687866,0.524597168,-0.017562866,0.000261,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T10:00:00,12.09221802,-3.372732544,0.540847778,0.356872559,0.000303,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T11:00:00,11.52445374,-4.48140564,0.449417114,0.122406006,0.000553,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T12:00:00,11.02979431,-4.775930786,0.051315308,0.000168,0.000565,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T13:00:00,10.72796021,-4.983862305,-0.061584473,-0.178771973,0.000569,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T14:00:00,9.690713501,-4.588049316,0.037200928,-0.130432129,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T15:00:00,8.105050659,-4.509664917,0.149353027,-0.549514771,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T16:00:00,6.265588379,-4.700537109,0.17024231,-0.754669189,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T17:00:00,4.221749878,-4.9809021,0.158935547,-0.879562378,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T18:00:00,2.455270386,-5.316046143,0.127197266,-0.985153198,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T19:00:00,4.424661255,-2.753897095,0.072418213,-0.873535156,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T20:00:00,3.880715942,-3.211218262,0.059249878,-0.92868042,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T21:00:00,3.523019409,-3.65012207,0.001968384,-0.96055603,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T22:00:00,3.288613892,-4.057470703,-0.042098999,-0.992721558,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-07T23:00:00,3.129586792,-4.471411133,-0.077941895,-0.997528076,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T00:00:00,3.045602417,-4.893240356,-0.11529541,-1.016189575,0.00057,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T01:00:00,3.254403687,-5.07980957,-0.158218384,-0.980331421,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T02:00:00,5.369241333,-4.039785767,-0.234176636,-0.931106567,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T03:00:00,6.804269409,0.093560791,-0.35786438,-0.825622559,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T04:00:00,9.692300415,-2.595495605,-0.534378052,-0.700286865,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T05:00:00,10.95980225,-2.030096436,-0.603210449,-0.515625,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T06:00:00,11.98926697,-1.529501343,-0.592514038,-0.370010376,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T07:00:00,12.34853516,-0.213339233,-0.590393066,-0.372558594,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T08:00:00,12.89127502,0.111352539,-0.516601563,-0.44883728,0.0000213,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T09:00:00,13.41097412,0.111047363,-0.416473389,-0.482666016,0.0000519,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T10:00:00,13.70795593,-0.219595337,-0.402297974,-0.518005371,0.000283,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T11:00:00,13.66668091,-0.172476196,-0.31427002,-0.349700928,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T12:00:00,13.61861572,0.248849487,-0.199508667,-0.292434692,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T13:00:00,13.08120117,0.555337524,-0.024261475,-0.350418091,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T14:00:00,11.79903564,0.678872681,0.004074097,-0.413162231,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T15:00:00,9.913796997,0.292138672,0.028869629,-0.673706055,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T16:00:00,8.339685059,-0.395147705,0.007354736,-0.802429199,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T17:00:00,7.159539795,-1.248419189,0.010131836,-0.879545212,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T18:00:00,6.278573608,-2.158712769,-0.020629883,-0.939117432,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T19:00:00,6.180200195,-2.591314697,-0.069412231,-1.038146973,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T20:00:00,5.698709106,-3.20128479,-0.115142822,-1.041337967,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T21:00:00,5.333581543,-3.710653687,-0.15788269,-1.073949814,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T22:00:00,5.018457031,-3.987280273,-0.172180176,-1.070465088,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-08T23:00:00,4.860101318,-4.134481812,-0.180633545,-1.054239273,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T00:00:00,4.505181885,-4.219030762,-0.169616699,-1.034939766,0.000318,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T01:00:00,4.708108521,-3.968374634,-0.170425415,-1.020737648,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T02:00:00,6.560922241,-1.74437561,-0.203704834,-0.913703918,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T03:00:00,9.465447998,0.334970093,-0.308395386,-0.734491348,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T04:00:00,11.80118713,-1.305899048,-0.496826172,-0.46941185,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T05:00:00,13.09530029,-1.590734863,-0.561935425,-0.212623596,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T06:00:00,14.02189026,-0.904592896,-0.584106445,-0.0453825,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T07:00:00,15.14498291,-1.277227783,-0.517288208,-0.188708305,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T08:00:00,15.6561676,-0.632452393,-0.389846802,-0.421814919,0.00000332,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T09:00:00,15.99411926,-0.197027588,-0.304458618,-0.519207954,0.0000127,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T10:00:00,16.07261047,-0.28180542,-0.280471802,-0.516316414,0.000166,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T11:00:00,15.97091064,-0.776403809,-0.200408936,-0.411819458,0.000255,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T12:00:00,15.673349,-1.006689453,-0.172027588,-0.385210037,0.000255,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T13:00:00,15.13627014,-0.817495728,-0.105514526,-0.32719326,0.000264,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T14:00:00,13.87020264,-0.166540527,-0.012573242,-0.244012833,0.000264,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T15:00:00,11.87651978,-0.145681763,0.033920288,-0.440382004,0.000264,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T16:00:00,10.05503235,-0.562750244,0.040939331,-0.658254623,0.000264,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T17:00:00,8.621911621,-1.215536499,0.043869019,-0.734418869,0.000265,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T18:00:00,7.501382446,-1.95619812,0.036071777,-0.806738853,0.000265,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T19:00:00,6.773370361,-2.802801514,0.003570557,-0.904922485,0.000266,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T20:00:00,6.214624023,-3.233099365,-0.021972656,-0.946863174,0.000266,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T21:00:00,5.809991455,-3.662634277,-0.046325684,-0.962481499,0.000266,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T22:00:00,5.394189453,-4.081396484,-0.089447021,-0.975588799,0.000266,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-09T23:00:00,5.039956665,-4.453115845,-0.12979126,-0.997145653,0.000266,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-10T00:00:00,4.782693481,-4.679403687,-0.14440918,-0.999943733,0.000266,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-10T01:00:00,4.948312378,-4.286413574,-0.140304565,-0.966251373,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-10T02:00:00,7.442727661,-0.594976807,-0.131576538,-0.779711723,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
2023-06-10T03:00:00,10.53029785,1.010247803,-0.328414917,-0.539621353,0.0,0.0,99.97265625,,,,,,,,,,,,,,,,,,
